element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary,config
O,0.6444444444444445,0.3722222222222222,0.0,0.1,,,,no-transition,0.3854422600754587,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.6444444444444445,0.5333333333333333,0.0,0.1,,,,no-transition,0.4742389850897517,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.6444444444444445,0.6944444444444444,0.0,0.1,,,,no-transition,0.5418209753855564,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.6444444444444445,0.8555555555555555,0.0,0.1,,,,no-transition,0.594864349416199,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.6444444444444445,1.0166666666666666,0.0,0.1,,,,no-transition,0.6374066718041992,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.6444444444444445,1.1777777777777778,0.0,0.1,,,,no-transition,0.6720301630729136,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.6444444444444445,1.3388888888888888,0.0,0.1,,,,no-transition,0.7004727973709353,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.6444444444444445,1.5,0.0,0.1,,,,no-transition,0.7240024201460259,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,0.05,0.0,0.1,,,,no-transition,0.14859323676607877,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,0.21111111111111108,0.0,0.1,,,,no-transition,0.4924046197444211,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,0.3722222222222222,0.0,0.1,,,,no-transition,0.7299290808085623,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,0.5333333333333333,0.0,0.1,,,,no-transition,0.9083928505136105,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,0.6944444444444444,0.0,0.1,,,,no-transition,1.0486545199553188,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,0.8555555555555555,0.0,0.1,,,,no-transition,1.1621071231005689,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,1.0166666666666666,0.0,0.1,,,,no-transition,1.2557232504871534,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,1.1777777777777778,0.0,0.1,,,,no-transition,1.333941803967251,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,1.3388888888888888,0.0,0.1,,,,no-transition,1.3997945285261186,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.188888888888889,1.5,0.0,0.1,,,,no-transition,1.4554942179511228,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.7333333333333336,0.05,0.0,0.1,,,,no-transition,0.21700487919315595,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.7333333333333336,0.21111111111111108,0.0,0.1,,,,no-transition,0.7263812611633658,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.7333333333333336,0.3722222222222222,0.0,0.1,,,,no-transition,1.0878165259980956,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.7333333333333336,0.5333333333333333,0.0,0.1,,,,no-transition,1.3667401061974462,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.7333333333333336,0.6944444444444444,0.0,0.1,,,,no-transition,1.5914269982821148,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.7333333333333336,0.8555555555555555,0.0,0.1,,,,no-transition,1.7775366178838772,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.7333333333333336,1.0166666666666666,0.0,0.1,,,,no-transition,1.9345380058185728,0.06155291061239945,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.7333333333333336,1.1777777777777778,0.0,0.1,3.96,,,damage-only,2.0684509551183283,0.22877279009403975,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
