element,distance_to_oxygen_3d,dominant_regime,frac_damage_before_nonreturn,frac_no_transition,frac_nonreturn_before_damage,erc_rank
Yb,6.633768629712514,nonreturn-before-damage,0.02666666666666667,0.23555555555555555,0.7066666666666667,100
Lr,6.696346367745642,damage-before-nonreturn,0.4711111111111111,0.13333333333333333,0.2577777777777778,20
Ac,6.703750991431589,nonreturn-before-damage,0.0,0.23555555555555555,0.7511111111111111,113
Sr,6.796366666547329,nonreturn-before-damage,0.08,0.29777777777777775,0.5688888888888889,81
K,6.862796783413035,damage-before-nonreturn,0.4311111111111111,0.3422222222222222,0.09333333333333334,24
Ba,7.048076282942322,damage-before-nonreturn,0.4444444444444444,0.2577777777777778,0.19111111111111112,22
Rb,7.06075954560088,damage-before-nonreturn,0.49777777777777776,0.28,0.10666666666666667,15
Cs,7.26941803313638,damage-before-nonreturn,0.36,0.28888888888888886,0.25333333333333335,41
Ra,7.3225476450735,nonreturn-before-damage,0.19111111111111112,0.31555555555555553,0.37777777777777777,66
Fr,7.609324465875975,no-transition,0.29777777777777775,0.3422222222222222,0.21777777777777776,52
Og,10.072189150272598,no-transition,0.017777777777777778,0.9333333333333333,0.03111111111111111,105
He,10.225070434798186,no-transition,0.0,1.0,0.0,114
