element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary
O,2.5500000000000003,1.1892857142857143,0.0,0.1,2.93,,,damage-only,3.305337641433839,3.078962177232606,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,1.292857142857143,0.0,0.1,2.83,,,damage-only,3.4416173142164688,3.682891938019207,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,1.3964285714285714,0.0,0.1,2.73,3.83,-1.1,damage-before-nonreturn,3.566977893632157,4.303226496616935,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,1.5,0.0,0.1,2.63,3.68,-1.0500000000000003,damage-before-nonreturn,3.6823201328212134,4.934385303706669,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.05,0.0,0.1,,,,no-transition,0.36419881418733024,0.0,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.15357142857142858,0.0,0.1,,,,no-transition,0.9628461556871061,0.0,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.2571428571428571,0.0,0.1,,,,no-transition,1.4436080992861924,0.0,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.3607142857142857,0.0,0.1,,,,no-transition,1.8500148265067444,0.0028024149336390346,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.46428571428571425,0.0,0.1,3.59,,,damage-only,2.203191548423812,0.23006706136862587,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.5678571428571428,0.0,0.1,3.4,,,damage-only,2.515780994670707,0.6362058594121063,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.6714285714285715,0.0,0.1,3.2800000000000002,,,damage-only,2.7961103078295686,1.1595474572875868,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.775,0.0,0.1,3.16,,,damage-only,3.050042560644926,1.7713368839966064,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.8785714285714286,0.0,0.1,3.06,,,damage-only,3.281807157777166,2.453120149927849,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,0.9821428571428571,0.0,0.1,2.95,3.85,-0.8999999999999999,damage-before-nonreturn,3.4945517832286135,3.1915224659608183,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,1.0857142857142856,0.0,0.1,2.84,3.59,-0.75,damage-before-nonreturn,3.690520700126101,3.9756584710973963,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,1.1892857142857143,0.0,0.1,2.74,3.46,-0.7199999999999998,damage-before-nonreturn,3.8714083494493963,4.796052175654282,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,1.292857142857143,0.0,0.1,2.63,3.34,-0.71,damage-before-nonreturn,4.038511342669314,5.644110332339853,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,1.3964285714285714,0.0,0.1,2.52,3.25,-0.73,damage-before-nonreturn,4.192938592692002,6.511871843054817,1.8281943454140903,3.4663242049803253
O,2.9000000000000004,1.5,0.0,0.1,2.42,3.15,-0.73,damage-before-nonreturn,4.335635775343414,7.392262858281968,1.8281943454140903,3.4663242049803253
